"temperature","feels_like","humidity","time","location"
22.0,20.7,17.0,"2021-01-01 11:00:00",Guest Room
26.0,26.89,59.0,"2021-01-01 11:00:00",Fernanda's Room
20.0,19.6,59.0,"2021-01-01 11:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 11:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 11:15:00",Guest Room
26.0,26.89,59.0,"2021-01-01 11:15:00",Fernanda's Room
20.0,19.62,60.0,"2021-01-01 11:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 11:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 11:30:00",Guest Room
26.0,26.89,59.0,"2021-01-01 11:30:00",Fernanda's Room
20.0,19.6,59.0,"2021-01-01 11:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 11:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 11:45:00",Guest Room
26.0,26.89,59.0,"2021-01-01 11:45:00",Fernanda's Room
20.0,19.62,60.0,"2021-01-01 12:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 12:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 12:00:00",Guest Room
26.0,26.89,59.0,"2021-01-01 12:00:00",Fernanda's Room
20.0,19.62,60.0,"2021-01-01 12:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 12:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 12:15:00",Guest Room
26.0,26.89,59.0,"2021-01-01 12:15:00",Fernanda's Room
20.0,19.6,59.0,"2021-01-01 12:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 12:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 12:30:00",Guest Room
26.0,26.89,59.0,"2021-01-01 12:30:00",Fernanda's Room
20.0,19.6,59.0,"2021-01-01 12:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 12:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 12:45:00",Guest Room
26.0,26.89,59.0,"2021-01-01 12:45:00",Fernanda's Room
20.0,19.57,58.0,"2021-01-01 13:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 13:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 13:00:00",Guest Room
26.0,26.89,59.0,"2021-01-01 13:00:00",Fernanda's Room
20.0,19.57,58.0,"2021-01-01 13:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 13:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 13:15:00",Guest Room
26.0,26.89,59.0,"2021-01-01 13:15:00",Fernanda's Room
